OCCP,OCCABB,NOTE,OCCUPATION
5700,OFF,Office and Administrative Support Occupations,SECRETARIES AND ADMINISTRATIVE ASSISTANTS
5800,OFF,Office and Administrative Support Occupations,COMPUTER OPERATORS
5810,OFF,Office and Administrative Support Occupations,DATA ENTRY KEYERS
5820,OFF,Office and Administrative Support Occupations,WORD PROCESSORS AND TYPISTS
5840,OFF,Office and Administrative Support Occupations,INSURANCE CLAIMS AND POLICY PROCESSING CLERKS
5850,OFF,Office and Administrative Support Occupations,"MAIL CLERKS AND MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE"
5860,OFF,Office and Administrative Support Occupations,"OFFICE CLERKS, GENERAL"
5900,OFF,Office and Administrative Support Occupations,"OFFICE MACHINE OPERATORS, EXCEPT COMPUTER"
5910,OFF,Office and Administrative Support Occupations,PROOFREADERS AND COPY MARKERS
5920,OFF,Office and Administrative Support Occupations,STATISTICAL ASSISTANTS
5940,OFF,Office and Administrative Support Occupations,"MISCELLANEOUS OFFICE AND ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
6005,FFF,"Farming, Fishing, and Forestry Occupations","FIRST LINE SUPERVISORS OF FARMING, FISHING, AND FORESTRY WORKERS"
6010,FFF,"Farming, Fishing, and Forestry Occupations",AGRICULTURAL INSPECTORS
6040,FFF,"Farming, Fishing, and Forestry Occupations","GRADERS AND SORTERS, AGRICULTURAL PRODUCTS"
6050,FFF,"Farming, Fishing, and Forestry Occupations","MISCELLANEOUS AGRICULTURAL WORKERS, INCLUDING ANIMAL BREEDERS"
6100,FFF,"Farming, Fishing, and Forestry Occupations",FISHING AND HUNTING WORKERS
6120,FFF,"Farming, Fishing, and Forestry Occupations",FOREST AND CONSERVATION WORKERS
6130,FFF,"Farming, Fishing, and Forestry Occupations",LOGGING WORKERS
6200,CON,Construction and Extraction Occupations,FIRST LINE SUPERVISORS OF CONSTRUCTION TRADES AND EXTRACTION WORKERS
6210,CON,Construction and Extraction Occupations,BOILERMAKERS
6220,CON,Construction and Extraction Occupations,"BRICKMASONS, BLOCKMASONS, STONEMASONS, AND REINFORCING IRON AND REBAR WORKERS"
6230,CON,Construction and Extraction Occupations,CARPENTERS
6240,CON,Construction and Extraction Occupations,"CARPET, FLOOR, AND TILE INSTALLERS AND FINISHERS"
6250,CON,Construction and Extraction Occupations,"CEMENT MASONS, CONCRETE FINISHERS, AND TERRAZZO .WORKERS"
6260,CON,Construction and Extraction Occupations,CONSTRUCTION LABORERS
6300,CON,Construction and Extraction Occupations,"PAVING, SURFACING, AND TAMPING EQUIPMENT OPERATORS"
6320,CON,Construction and Extraction Occupations,"CONSTRUCTION EQUIPMENT OPERATORS, EXCEPT PAVING, SURFACING, AND TAMPING EQUIPMENT OPERATORS"
6330,CON,Construction and Extraction Occupations,"DRYWALL INSTALLERS, CEILING TILE INSTALLERS, AND .TAPERS"
6355,CON,Construction and Extraction Occupations,ELECTRICIANS
6360,CON,Construction and Extraction Occupations,GLAZIERS
6400,CON,Construction and Extraction Occupations,INSULATION WORKERS
6420,CON,Construction and Extraction Occupations,PAINTERS AND PAPERHANGERS
6440,CON,Construction and Extraction Occupations,"PIPELAYERS, PLUMBERS, PIPEFITTERS, AND STEAMFITTERS"
6460,CON,Construction and Extraction Occupations,PLASTERERS AND STUCCO MASONS
6515,CON,Construction and Extraction Occupations,ROOFERS
6520,CON,Construction and Extraction Occupations,SHEET METAL WORKERS
6530,CON,Construction and Extraction Occupations,STRUCTURAL IRON AND STEEL WORKERS
6600,CON,Construction and Extraction Occupations,"HELPERS, CONSTRUCTION TRADES"
6660,CON,Construction and Extraction Occupations,CONSTRUCTION AND BUILDING INSPECTORS
6700,CON,Construction and Extraction Occupations,ELEVATOR INSTALLERS AND REPAIRERS
6710,CON,Construction and Extraction Occupations,FENCE ERECTORS
6720,CON,Construction and Extraction Occupations,HAZARDOUS MATERIALS REMOVAL WORKERS
6730,CON,Construction and Extraction Occupations,HIGHWAY MAINTENANCE WORKERS
6740,CON,Construction and Extraction Occupations,RAIL TRACK LAYING AND MAINTENANCE EQUIPMENT OPERATORS
6765,CON,Construction and Extraction Occupations,"MISCELLANEOUS CONSTRUCTION WORKERS, INCLUDING SOLAR PHOTOVOLTAIC INSTALLERS, SEPTIC TANK SERVICERS AND SEWER PIPE CLEANERS"
6800,EXT,Extraction Workers,"DERRICK, ROTARY DRILL, AND SERVICE UNIT OPERATORS, AND ROUSTABOUTS, OIL, GAS, AND MINING"
6820,EXT,Extraction Workers,"EARTH DRILLERS, EXCEPT OIL AND GAS"
6830,EXT,Extraction Workers,"EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, AND BLASTERS"
6840,EXT,Extraction Workers,MINING MACHINE OPERATORS
6940,EXT,Extraction Workers,"MISCELLANEOUS EXTRACTION WORKERS, INCLUDING ROOF BOLTERS AND HELPERS"
7000,RPR,"Installation, Maintenance, and Repair Workers","FIRST LINE SUPERVISORS OF MECHANICS, INSTALLERS, AND REPAIRERS"
7010,RPR,"Installation, Maintenance, and Repair Workers","COMPUTER, AUTOMATED TELLER, AND OFFICE MACHINE REPAIRERS"
7020,RPR,"Installation, Maintenance, and Repair Workers",RADIO AND TELECOMMUNICATIONS EQUIPMENT INSTALLERS AND REPAIRERS
7030,RPR,"Installation, Maintenance, and Repair Workers",AVIONICS TECHNICIANS
7040,RPR,"Installation, Maintenance, and Repair Workers","ELECTRIC MOTOR, POWER TOOL, AND RELATED REPAIRERS"
7100,RPR,"Installation, Maintenance, and Repair Workers","ELECTRICAL AND ELECTRONICS REPAIRERS, TRANSPORTATION EQUIPMENT, AND INDUSTRIAL AND UTILITY"
7110,RPR,"Installation, Maintenance, and Repair Workers","ELECTRONIC EQUIPMENT INSTALLERS AND REPAIRERS, MOTOR VEHICLES"
7120,RPR,"Installation, Maintenance, and Repair Workers",ELECTRONIC HOME ENTERTAINMENT EQUIPMENT INSTALLERS AND REPAIRERS
7130,RPR,"Installation, Maintenance, and Repair Workers",SECURITY AND FIRE ALARM SYSTEMS INSTALLERS
7140,RPR,"Installation, Maintenance, and Repair Workers",AIRCRAFT MECHANICS AND SERVICE TECHNICIANS
7150,RPR,"Installation, Maintenance, and Repair Workers",AUTOMOTIVE BODY AND RELATED REPAIRERS
7160,RPR,"Installation, Maintenance, and Repair Workers",AUTOMOTIVE GLASS INSTALLERS AND REPAIRERS
7200,RPR,"Installation, Maintenance, and Repair Workers",AUTOMOTIVE SERVICE TECHNICIANS AND MECHANICS
7210,RPR,"Installation, Maintenance, and Repair Workers",BUS AND TRUCK MECHANICS AND DIESEL ENGINE SPECIALISTS
7220,RPR,"Installation, Maintenance, and Repair Workers",HEAVY VEHICLE AND MOBILE EQUIPMENT SERVICE TECHNICIANS AND MECHANICS
7240,RPR,"Installation, Maintenance, and Repair Workers",SMALL ENGINE MECHANICS
7260,RPR,"Installation, Maintenance, and Repair Workers","MISCELLANEOUS VEHICLE AND MOBILE EQUIPMENT MECHANICS, INSTALLERS, AND REPAIRERS"
7300,RPR,"Installation, Maintenance, and Repair Workers",CONTROL AND VALVE INSTALLERS AND REPAIRERS
7315,RPR,"Installation, Maintenance, and Repair Workers","HEATING, AIR CONDITIONING, AND REFRIGERATION MECHANICS AND INSTALLERS"
7320,RPR,"Installation, Maintenance, and Repair Workers",HOME APPLIANCE REPAIRERS
7330,RPR,"Installation, Maintenance, and Repair Workers",INDUSTRIAL AND REFRACTORY MACHINERY MECHANICS
7340,RPR,"Installation, Maintenance, and Repair Workers","MAINTENANCE AND REPAIR WORKERS, GENERAL"
7350,RPR,"Installation, Maintenance, and Repair Workers","MAINTENANCE WORKERS, MACHINERY"
7360,RPR,"Installation, Maintenance, and Repair Workers",MILLWRIGHTS
7410,RPR,"Installation, Maintenance, and Repair Workers",ELECTRICAL POWER LINE INSTALLERS AND REPAIRERS
7420,RPR,"Installation, Maintenance, and Repair Workers",TELECOMMUNICATIONS LINE INSTALLERS AND REPAIRERS
7430,RPR,"Installation, Maintenance, and Repair Workers",PRECISION INSTRUMENT AND EQUIPMENT REPAIRERS
7510,RPR,"Installation, Maintenance, and Repair Workers","COIN, VENDING, AND AMUSEMENT MACHINE SERVICERS AND REPAIRERS"
7540,RPR,"Installation, Maintenance, and Repair Workers",LOCKSMITHS AND SAFE REPAIRERS
7560,RPR,"Installation, Maintenance, and Repair Workers",RIGGERS
7610,RPR,"Installation, Maintenance, and Repair Workers","HELPERS INSTALLATION, MAINTENANCE, AND REPAIR WORKERS"
7630,RPR,"Installation, Maintenance, and Repair Workers","MISCELLANEOUS INSTALLATION, MAINTENANCE, AND REPAIR WORKERS, INCLUDING WIND TURBINE SERVICE TECHNICIANS"
7700,PRD,Production Occupations,FIRST LINE SUPERVISORS OF PRODUCTION AND OPERATING WORKERS
7710,PRD,Production Occupations,"AIRCRAFT STRUCTURE, SURFACES, RIGGING, AND SYSTEMS ASSEMBLERS"
7720,PRD,Production Occupations,"ELECTRICAL, ELECTRONICS, AND ELECTROMECHANICAL ASSEMBLERS"
7730,PRD,Production Occupations,ENGINE AND OTHER MACHINE ASSEMBLERS
7740,PRD,Production Occupations,STRUCTURAL METAL FABRICATORS AND FITTERS
7750,PRD,Production Occupations,MISCELLANEOUS ASSEMBLERS AND FABRICATORS
7800,PRD,Production Occupations,BAKERS
7810,PRD,Production Occupations,"BUTCHERS AND OTHER MEAT, POULTRY, AND FISH PROCESSING ASSEMBLERS"
7830,PRD,Production Occupations,"FOOD AND TOBACCO ROASTING, BAKING, AND DRYING MACHINE OPERATORS AND TENDERS"
7840,PRD,Production Occupations,FOOD BATCHMAKERS
7850,PRD,Production Occupations,FOOD COOKING MACHINE OPERATORS AND TENDERS\
7855,PRD,Production Occupations,"FOOD PROCESSING WORKERS, ALL OTHER"
7900,PRD,Production Occupations,COMPUTER CONTROL PROGRAMMERS AND OPERATORS
7920,PRD,Production Occupations,"EXTRUDING AND DRAWING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC"
7930,PRD,Production Occupations,"FORGING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC"
7940,PRD,Production Occupations,"ROLLING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC"
7950,PRD,Production Occupations,"MACHINE TOOL CUTTING SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC"
8030,PRD,Production Occupations,MACHINISTS
8040,PRD,Production Occupations,"METAL FURNACE OPERATORS, TENDERS, POURERS, AND CASTERS"
8100,PRD,Production Occupations,"MODEL MAKERS, PATTERNMAKERS, AND MOLDING MACHINE SETTERS, METAL AND PLASTIC"
8130,PRD,Production Occupations,TOOL AND DIE MAKERS
8140,PRD,Production Occupations,"WELDING, SOLDERING, AND BRAZING WORKERS"
8220,PRD,Production Occupations,"MISCELLANEOUS METAL WORKERS AND PLASTIC WORKERS, INCLUDING MULTIPLE MACHINE TOOL SETTERS"
8250,PRD,Production Occupations,PREPRESS TECHNICIANS AND WORKERS
8255,PRD,Production Occupations,PRINTING PRESS OPERATORS
8256,PRD,Production Occupations,PRINT BINDING AND FINISHING WORKERS
8300,PRD,Production Occupations,LAUNDRY AND DRY CLEANING WORKERS
8310,PRD,Production Occupations,"PRESSERS, TEXTILE, GARMENT, AND RELATED MATERIALS"
8320,PRD,Production Occupations,SEWING MACHINE OPERATORS
8330,PRD,Production Occupations,SHOE AND LEATHER WORKERS
8350,PRD,Production Occupations,"TAILORS, DRESSMAKERS, AND SEWERS"
8400,PRD,Production Occupations,"TEXTILE BLEACHING AND DYEING, AND CUTTING MACHINE SETTERS, OPERATORS, AND TENDERS"
8410,PRD,Production Occupations,"TEXTILE KNITTING AND WEAVING MACHINE SETTERS, OPERATORS, AND TENDERS"
8420,PRD,Production Occupations,"TEXTILE WINDING, TWISTING, AND DRAWING OUT MACHINE SETTERS, OPERATORS, AND TENDERS"
8450,PRD,Production Occupations,UPHOLSTERERS
8460,PRD,Production Occupations,"MISCELLANEOUS TEXTILE, APPAREL, AND FURNISHINGS WORKERS, EXCEPT UPHOLSTERERS"
8500,PRD,Production Occupations,CABINETMAKERS AND BENCH CARPENTERS
8510,PRD,Production Occupations,FURNITURE FINISHERS
8530,PRD,Production Occupations,"SAWING MACHINE SETTERS, OPERATORS, AND TENDERS, WOOD"
8540,PRD,Production Occupations,"WOODWORKING MACHINE SETTERS, OPERATORS, AND TENDERS, EXCEPT SAWING"
8550,PRD,Production Occupations,"MISCELLANEOUS WOODWORKERS, INCLUDING MODEL MAKERS AND PATTERNMAKERS"
8600,PRD,Production Occupations,"POWER PLANT OPERATORS, DISTRIBUTORS, AND DISPATCHERS"
8610,PRD,Production Occupations,STATIONARY ENGINEERS AND BOILER OPERATORS
8620,PRD,Production Occupations,WATER AND WASTEWATER TREATMENT PLANT AND SYSTEM OPERATORS
8630,PRD,Production Occupations,MISCELLANEOUS PLANT AND SYSTEM OPERATORS
8640,PRD,Production Occupations,"CHEMICAL PROCESSING MACHINE SETTERS, OPERATORS, AND TENDERS"
8650,PRD,Production Occupations,"CRUSHING, GRINDING, POLISHING, MIXING, AND BLENDING WORKERS"
8710,PRD,Production Occupations,CUTTING WORKERS
8720,PRD,Production Occupations,"EXTRUDING, FORMING, PRESSING, AND COMPACTING MACHINE SETTERS, OPERATORS, AND TENDERS"
8730,PRD,Production Occupations,"FURNACE, KILN, OVEN, DRIER, AND KETTLE OPERATORS AND TENDERS"
8740,PRD,Production Occupations,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, AND WEIGHERS"
8750,PRD,Production Occupations,JEWELERS AND PRECIOUS STONE AND METAL WORKERS
8760,PRD,Production Occupations,"MEDICAL, DENTAL, AND OPHTHALMIC LABORATORY TECHNICIANS"
8800,PRD,Production Occupations,PACKAGING AND FILLING MACHINE OPERATORS AND TENDERS
8810,PRD,Production Occupations,PAINTING WORKERS
8830,PRD,Production Occupations,PHOTOGRAPHIC PROCESS WORKERS AND PROCESSING MACHINE OPERATORS
8850,PRD,Production Occupations,ADHESIVE BONDING MACHINE OPERATORS AND TENDERS
8910,PRD,Production Occupations,ETCHERS AND ENGRAVERS
8920,PRD,Production Occupations,"MOLDERS, SHAPERS, AND CASTERS, EXCEPT METAL AND .PLASTIC"
8930,PRD,Production Occupations,"PAPER GOODS MACHINE SETTERS, OPERATORS, AND TENDERS"
8940,PRD,Production Occupations,TIRE BUILDERS
8950,PRD,Production Occupations,HELPERS PRODUCTION WORKERS
8965,PRD,Production Occupations,"MISCELLANEOUS PRODUCTION WORKERS, INCLUDING SEMICONDUCTOR PROCESSORS"
9000,TRN,Transportation and Material Moving Occupations,SUPERVISORS OF TRANSPORTATION AND MATERIAL MOVING WORKERS
9030,TRN,Transportation and Material Moving Occupations,AIRCRAFT PILOTS AND FLIGHT ENGINEERS
9040,TRN,Transportation and Material Moving Occupations,AIR TRAFFIC CONTROLLERS AND AIRFIELD OPERATIONS SPECIALISTS
9050,TRN,Transportation and Material Moving Occupations,FLIGHT ATTENDANTS
9110,TRN,Transportation and Material Moving Occupations,"AMBULANCE DRIVERS AND ATTENDANTS, EXCEPT EMERGENCY MEDICAL TECHNICIANS"
9120,TRN,Transportation and Material Moving Occupations,BUS DRIVERS
9130,TRN,Transportation and Material Moving Occupations,DRIVER/SALES WORKERS AND TRUCK DRIVERS
9140,TRN,Transportation and Material Moving Occupations,TAXI DRIVERS AND CHAUFFEURS
9150,TRN,Transportation and Material Moving Occupations,"MOTOR VEHICLE OPERATORS, ALL OTHER"
9200,TRN,Transportation and Material Moving Occupations,LOCOMOTIVE ENGINEERS AND OPERATORS
9240,TRN,Transportation and Material Moving Occupations,RAILROAD CONDUCTORS AND YARDMASTERS
9260,TRN,Transportation and Material Moving Occupations,"SUBWAY, STREETCAR, AND OTHER RAIL TRANSPORTATION WORKERS"
9300,TRN,Transportation and Material Moving Occupations,"SAILORS AND MARINE OILERS, AND SHIP ENGINEERS"
9310,TRN,Transportation and Material Moving Occupations,SHIP AND BOAT CAPTAINS AND OPERATORS
9350,TRN,Transportation and Material Moving Occupations,PARKING LOT ATTENDANTS
9360,TRN,Transportation and Material Moving Occupations,AUTOMOTIVE AND WATERCRAFT SERVICE ATTENDANTS
9410,TRN,Transportation and Material Moving Occupations,TRANSPORTATION INSPECTORS
9415,TRN,Transportation and Material Moving Occupations,"TRANSPORTATION ATTENDANTS, EXCEPT FLIGHT ATTENDANTS"
9420,TRN,Transportation and Material Moving Occupations,"MISCELLANEOUS TRANSPORTATION WORKERS, INCLUDING BRIDGE AND LOCK TENDERS AND TRAFFIC TECHNICIANS"
9510,TRN,Transportation and Material Moving Occupations,CRANE AND TOWER OPERATORS
9520,TRN,Transportation and Material Moving Occupations,"DREDGE, EXCAVATING, AND LOADING MACHINE OPERATORS"
9560,TRN,Transportation and Material Moving Occupations,"CONVEYOR OPERATORS AND TENDERS, AND HOIST AND WINCH OPERATORS"
9600,TRN,Transportation and Material Moving Occupations,INDUSTRIAL TRUCK AND TRACTOR OPERATORS
9610,TRN,Transportation and Material Moving Occupations,CLEANERS OF VEHICLES AND EQUIPMENT
9620,TRN,Transportation and Material Moving Occupations,"LABORERS AND FREIGHT, STOCK, AND MATERIAL MOVERS, HAND"
9630,TRN,Transportation and Material Moving Occupations,MACHINE FEEDERS AND OFFBEARERS
9640,TRN,Transportation and Material Moving Occupations,"PACKERS AND PACKAGERS, HAND"
9650,TRN,Transportation and Material Moving Occupations,PUMPING STATION OPERATORS
9720,TRN,Transportation and Material Moving Occupations,REFUSE AND RECYCLABLE MATERIAL COLLECTORS
9750,TRN,Transportation and Material Moving Occupations,"MISCELLANEOUS MATERIAL MOVING WORKERS, INCLUDING MINE SHUTTLE CAR OPERATORS, AND TANK CAR, TRUCK, AND SHIP LOADERS"
9800,MIL,Millitary Specific Occupation,MILITARY OFFICER SPECIAL AND TACTICAL OPERATIONS LEADERS
9810,MIL,Millitary Specific Occupation,FIRST LINE ENLISTED MILITARY SUPERVISORS
9820,MIL,Millitary Specific Occupation,MILITARY ENLISTED TACTICAL OPERATIONS AND AIR/WEAPONS SPECIALISTS AND CREW MEMBERS
9830,MIL,Millitary Specific Occupation,"MILITARY, RANK NOT SPECIFIED **"
9920,NA,NA,UNEMPLOYED AND LAST WORKED 5 YEARS AGO OR EARLIER OR NEVER .WORKED **
,,,
,Note: For additional information on NAICS and SOC groupings within major categories visit our website at: http://www.census.gov/people/io/methodology/indexes.html.,,
,PAOC 1,,
,Presence and age of own children,,
,b .N/A (male/female under 16 years old/GQ),,
,1 .Females with own children under 6 years only,,
,2 .Females with own children 6 to 17 years only,,
,3 .Females with own children under 6 years and 6 to 17 years,,
,4 .Females with no own children,,
,PERNP 7,,
,Total person's earnings,,
,bbbbbbb .,,
